ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note
20240418092742,front,1009.316,1009.35,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32257_20240418092742/recordings/bedf2f92ad41b1f3ef7220a114030118_ride_32257__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418092742_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32257_20240418092742,
20240418091121,front,437.066,437.1,0.03400000000004866,True,3,True,../frodobots/frodobots_data/output_rides_15/ride_32249_20240418091121/recordings/b588d2e33b4b9aaab349e183a2be4660_ride_32249__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418091121_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32249_20240418091121,
20240418091717,front,373.816,373.85,0.03400000000004866,True,2,True,../frodobots/frodobots_data/output_rides_15/ride_32250_20240418091717/recordings/177b349aec42d29827a3fe892fa62134_ride_32250__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418091717_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32250_20240418091717,
20240418091002,front,332.466,332.5,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32248_20240418091002/recordings/0ce9e7348a46c229a62505a009818938_ride_32248__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418091002_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32248_20240418091002,
20240418094241,front,91.516,91.55,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32265_20240418094241/recordings/d758d1347e4546e886c9598c64b3ff92_ride_32265__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418094241_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32265_20240418094241,
20240418094835,front,149.716,149.75,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32271_20240418094835/recordings/3e76c89031480f856c0cd29aee07bc04_ride_32271__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_470131_20240418094835_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32271_20240418094835,
20240418095202,front,371.966,372.0,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32274_20240418095202/recordings/312dd04e244cde32c527ac98d64ecad8_ride_32274__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418095202_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32274_20240418095202,
20240418101042,front,1404.466,1404.5,0.0340000000001055,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32280_20240418101042/recordings/559402365b4e0e642164aa80966a690b_ride_32280__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418101042_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32280_20240418101042,
20240418094304,front,1489.066,1489.1,0.03399999999987813,True,3,True,../frodobots/frodobots_data/output_rides_15/ride_32266_20240418094304/recordings/68b345cd8543587bee39b8abf42b4f54_ride_32266__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418094304_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32266_20240418094304,
20240418100148,front,337.116,337.15,0.033999999999991815,True,3,True,../frodobots/frodobots_data/output_rides_15/ride_32279_20240418100148/recordings/4ec543248c4b4d4527c706bd09a3fd96_ride_32279__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418100148_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32279_20240418100148,
