ride_idx,ride_id,ride_ts,start_row,end_row,num_rows,path
13969,ride_63f508_20240707054000,20240707054000,70619726,70624668,4942,videos/ride_63f508_20240707054000_front_camera.mp4
13970,ride_bed262_20240709084434,20240709084434,70624668,70638773,14105,videos/ride_bed262_20240709084434_front_camera.mp4
13971,ride_40c2f4_20240707061243,20240707061243,70638773,70645866,7093,videos/ride_40c2f4_20240707061243_front_camera.mp4
13972,ride_9e3881_20240706153319,20240706153319,70645866,70651702,5836,videos/ride_9e3881_20240706153319_front_camera.mp4
13973,ride_43b7c1_20240709070022,20240709070022,70651702,70662558,10856,videos/ride_43b7c1_20240709070022_front_camera.mp4
13974,ride_8b391d_20240709013759,20240709013759,70662558,70667293,4735,videos/ride_8b391d_20240709013759_front_camera.mp4
13975,ride_8b391d_20240710004345,20240710004345,70667293,70672251,4958,videos/ride_8b391d_20240710004345_front_camera.mp4
13976,ride_9e3881_20240709124505,20240709124505,70672251,70682622,10371,videos/ride_9e3881_20240709124505_front_camera.mp4
13977,ride_63f508_20240707032431,20240707032431,70682622,70690177,7555,videos/ride_63f508_20240707032431_front_camera.mp4
13978,ride_ea1a8e_20240710222705,20240710222705,70690177,70696609,6432,videos/ride_ea1a8e_20240710222705_front_camera.mp4
13979,ride_8dc283_20240707210539,20240707210539,70696609,70700625,4016,videos/ride_8dc283_20240707210539_front_camera.mp4
13980,ride_8b391d_20240708034723,20240708034723,70700625,70704903,4278,videos/ride_8b391d_20240708034723_front_camera.mp4
13981,ride_40c2f4_20240708071339,20240708071339,70704903,70707096,2193,videos/ride_40c2f4_20240708071339_front_camera.mp4
13982,ride_36cc7a_20240709151317,20240709151317,70707096,70713184,6088,videos/ride_36cc7a_20240709151317_front_camera.mp4
13983,ride_e2693b_20240710070628,20240710070628,70713184,70738369,25185,videos/ride_e2693b_20240710070628_front_camera.mp4
13984,ride_7437e7_20240710092018,20240710092018,70738369,70748471,10102,videos/ride_7437e7_20240710092018_front_camera.mp4
13985,ride_84808b_20240709100752,20240709100752,70748471,70755145,6674,videos/ride_84808b_20240709100752_front_camera.mp4
13986,ride_84808b_20240710081045,20240710081045,70755145,70762856,7711,videos/ride_84808b_20240710081045_front_camera.mp4
13987,ride_c8033c_20240708123829,20240708123829,70762856,70768130,5274,videos/ride_c8033c_20240708123829_front_camera.mp4
13988,ride_8b391d_20240708044134,20240708044134,70768130,70772686,4556,videos/ride_8b391d_20240708044134_front_camera.mp4
13989,ride_3908a7_20240710020226,20240710020226,70772686,70780311,7625,videos/ride_3908a7_20240710020226_front_camera.mp4
13990,ride_80fb8a_20240708165105,20240708165105,70780311,70786977,6666,videos/ride_80fb8a_20240708165105_front_camera.mp4
13991,ride_3908a7_20240709020355,20240709020355,70786977,70790098,3121,videos/ride_3908a7_20240709020355_front_camera.mp4
13992,ride_1496ed_20240709053837,20240709053837,70790098,70798799,8701,videos/ride_1496ed_20240709053837_front_camera.mp4
13993,ride_8dc283_20240706223103,20240706223103,70798799,70814117,15318,videos/ride_8dc283_20240706223103_front_camera.mp4
13994,ride_63f508_20240709075638,20240709075638,70814117,70817718,3601,videos/ride_63f508_20240709075638_front_camera.mp4
13995,ride_643881_20240706191053,20240706191053,70817718,70819427,1709,videos/ride_643881_20240706191053_front_camera.mp4
13996,ride_8b391d_20240707053939,20240707053939,70819427,70825303,5876,videos/ride_8b391d_20240707053939_front_camera.mp4
13997,ride_d7d93b_20240707061712,20240707061712,70825303,70830770,5467,videos/ride_d7d93b_20240707061712_front_camera.mp4
13998,ride_ea1a8e_20240710230027,20240710230027,70830770,70834036,3266,videos/ride_ea1a8e_20240710230027_front_camera.mp4
13999,ride_12c9d5_20240709124624,20240709124624,70834036,70834222,186,videos/ride_12c9d5_20240709124624_front_camera.mp4
14000,ride_63f508_20240709050850,20240709050850,70834222,70842340,8118,videos/ride_63f508_20240709050850_front_camera.mp4
14001,ride_9e3881_20240708130117,20240708130117,70842340,70846729,4389,videos/ride_9e3881_20240708130117_front_camera.mp4
14002,ride_1d8d5a_20240708104845,20240708104845,70846729,70850111,3382,videos/ride_1d8d5a_20240708104845_front_camera.mp4
14003,ride_ea1a8e_20240709004811,20240709004811,70850111,70854242,4131,videos/ride_ea1a8e_20240709004811_front_camera.mp4
14004,ride_40c2f4_20240708113721,20240708113721,70854242,70856286,2044,videos/ride_40c2f4_20240708113721_front_camera.mp4
14005,ride_643881_20240706191446,20240706191446,70856286,70861442,5156,videos/ride_643881_20240706191446_front_camera.mp4
14006,ride_63f508_20240707005253,20240707005253,70861442,70868499,7057,videos/ride_63f508_20240707005253_front_camera.mp4
14007,ride_2e7831_20240710042825,20240710042825,70868499,70872404,3905,videos/ride_2e7831_20240710042825_front_camera.mp4
14008,ride_8b391d_20240711001427,20240711001427,70872404,70878203,5799,videos/ride_8b391d_20240711001427_front_camera.mp4
14009,ride_ed45be_20240709213712,20240709213712,70878203,70883448,5245,videos/ride_ed45be_20240709213712_front_camera.mp4
14010,ride_97434e_20240708080039,20240708080039,70883448,70896695,13247,videos/ride_97434e_20240708080039_front_camera.mp4
14011,ride_8b391d_20240709035803,20240709035803,70896695,70902795,6100,videos/ride_8b391d_20240709035803_front_camera.mp4
14012,ride_3908a7_20240708070115,20240708070115,70902795,70908307,5512,videos/ride_3908a7_20240708070115_front_camera.mp4
14013,ride_d7d93b_20240708050746,20240708050746,70908307,70912998,4691,videos/ride_d7d93b_20240708050746_front_camera.mp4
14014,ride_36cc7a_20240710154710,20240710154710,70912998,70918964,5966,videos/ride_36cc7a_20240710154710_front_camera.mp4
