scene,model,base_blur,end_blur,d_blur,x_blur,B
r22,ours_pca2,1613.1,1689.9,76.8,-45.95,45.95
r22,ours_pca4,1724.7,2062.8,338.1,215.35000000000002,-215.35000000000002
r22,ours_pca8,1632.8,1862.8,230.1,107.35,-107.35
r22,worldcam,1651.5,1462.8,-188.7,-311.45,311.45
r22,worldplay,1417.4,1449.1,31.7,-91.05,91.05
r22,yume,793.7,891.7,98.1,-24.650000000000006,24.650000000000006
r23,astra,1090.4,1213.6,123.2,54.7,-54.7
r23,matrixgame,641.9,810.6,168.7,100.19999999999999,-100.19999999999999
r23,minwm,1159.8,1295.7,135.9,67.4,-67.4
r23,ours_16node,1271.5,1509.3,237.8,169.3,-169.3
r23,ours_4node,1126.7,984.1,-142.6,-211.1,211.1
r23,ours_noadaln,1032.0,764.6,-267.4,-335.9,335.9
r23,ours_noatok,1235.7,1301.5,65.9,-2.5999999999999943,2.5999999999999943
r23,ours_nocritic,1233.3,1155.4,-77.9,-146.4,146.4
r23,ours_pca2,1215.0,1218.7,3.8,-64.7,64.7
r23,ours_pca4,1357.3,1643.0,285.7,217.2,-217.2
r23,ours_pca8,1231.2,1302.3,71.1,2.5999999999999943,-2.5999999999999943
r23,worldcam,1588.4,1566.0,-22.4,-90.9,90.9
r23,worldplay,1521.9,1491.1,-30.8,-99.3,99.3
r23,yume,1009.1,1104.3,95.2,26.700000000000003,-26.700000000000003
r24,astra,1209.5,1422.8,213.3,98.45000000000002,-98.45000000000002
r24,matrixgame,623.7,881.2,257.5,142.65,-142.65
r24,minwm,1263.1,1355.5,92.4,-22.44999999999999,22.44999999999999
r24,ours_16node,1357.5,1764.6,407.1,292.25,-292.25
r24,ours_4node,1219.2,1327.9,108.7,-6.1499999999999915,6.1499999999999915
r24,ours_noadaln,1126.2,678.1,-448.1,-562.95,562.95
r24,ours_noatok,1238.2,1258.5,20.3,-94.55,94.55
r24,ours_nocritic,1279.7,1400.7,121.0,6.150000000000006,-6.150000000000006
r24,ours_pca2,1283.4,1431.9,148.6,33.75,-33.75
r24,ours_pca4,1355.3,1605.2,249.9,135.05,-135.05
r24,ours_pca8,1302.9,1434.1,131.2,16.349999999999994,-16.349999999999994
r24,worldcam,1768.3,1315.3,-452.9,-567.75,567.75
r24,worldplay,1637.4,1645.3,7.8,-107.05,107.05
r24,yume,913.8,971.1,57.3,-57.55,57.55
r25,astra,244.5,1611.1,1366.6,1309.6499999999999,-1309.6499999999999
r25,matrixgame,128.1,119.0,-9.1,-66.05,66.05
r25,minwm,613.5,679.4,65.8,8.849999999999994,-8.849999999999994
r25,ours_16node,541.2,721.9,180.7,123.74999999999999,-123.74999999999999
r25,ours_4node,488.6,588.0,99.4,42.45,-42.45
r25,ours_noadaln,340.0,316.8,-23.2,-80.15,80.15
r25,ours_noatok,504.4,484.2,-20.2,-77.15,77.15
r25,ours_nocritic,562.5,610.6,48.1,-8.850000000000001,8.850000000000001
r25,ours_pca2,492.4,529.8,37.4,-19.550000000000004,19.550000000000004
r25,ours_pca4,585.0,851.0,266.1,209.15000000000003,-209.15000000000003
r25,ours_pca8,440.7,577.3,136.6,79.64999999999999,-79.64999999999999
r25,worldcam,952.5,1425.7,473.2,416.25,-416.25
r25,worldplay,431.4,438.7,7.2,-49.75,49.75
r25,yume,20.8,44.4,23.6,-33.35,33.35
r26,astra,398.3,1203.1,804.8,681.4499999999999,-681.4499999999999
r26,matrixgame,309.2,460.0,150.8,27.450000000000017,-27.450000000000017
r26,minwm,518.3,616.4,98.1,-25.25,25.25
r26,ours_16node,521.0,712.4,191.4,68.05000000000001,-68.05000000000001
r26,ours_4node,417.9,551.6,133.7,10.349999999999994,-10.349999999999994
r26,ours_noadaln,364.4,90.3,-274.1,-397.45000000000005,397.45000000000005
r26,ours_noatok,482.4,543.2,60.8,-62.55,62.55
r26,ours_nocritic,438.7,428.8,-9.9,-133.25,133.25
r26,ours_pca2,528.4,641.4,113.0,-10.349999999999994,10.349999999999994
r26,ours_pca4,517.4,691.8,174.4,51.05000000000001,-51.05000000000001
r26,ours_pca8,463.2,599.6,136.4,13.050000000000011,-13.050000000000011
r26,worldcam,946.5,961.1,14.6,-108.75,108.75
r26,worldplay,551.5,598.1,46.5,-76.85,76.85
r26,yume,406.8,708.4,301.6,178.25000000000003,-178.25000000000003
r27,astra,332.0,342.8,10.8,-12.599999999999998,12.599999999999998
r27,matrixgame,266.7,395.9,129.2,105.79999999999998,-105.79999999999998
r27,minwm,420.1,483.9,63.8,40.4,-40.4
r27,ours_16node,523.6,695.5,171.8,148.4,-148.4
r27,ours_4node,436.7,460.3,23.6,0.20000000000000284,-0.20000000000000284
r27,ours_noadaln,360.7,222.5,-138.2,-161.6,161.6
r27,ours_noatok,424.6,426.7,2.1,-21.299999999999997,21.299999999999997
r27,ours_nocritic,432.7,288.3,-144.4,-167.8,167.8
r27,ours_pca2,448.7,414.5,-34.2,-57.6,57.6
r27,ours_pca4,480.4,543.7,63.3,39.9,-39.9
r27,ours_pca8,451.1,453.8,2.7,-20.7,20.7
r27,worldcam,594.5,677.2,82.7,59.300000000000004,-59.300000000000004
r27,worldplay,485.3,508.5,23.2,-0.1999999999999993,0.1999999999999993
r27,yume,396.2,521.2,125.0,101.6,-101.6
r28,astra,521.7,502.0,-19.7,-92.10000000000001,92.10000000000001
r28,matrixgame,286.4,360.2,73.8,1.3999999999999915,-1.3999999999999915
r28,minwm,570.5,635.4,64.9,-7.5,7.5
r28,ours_16node,639.4,841.9,202.5,130.1,-130.1
r28,ours_4node,592.0,690.9,98.9,26.5,-26.5
r28,ours_noadaln,565.9,378.9,-186.9,-259.3,259.3
r28,ours_noatok,574.0,609.2,35.3,-37.10000000000001,37.10000000000001
r28,ours_nocritic,591.9,665.4,73.5,1.0999999999999943,-1.0999999999999943
r28,ours_pca2,593.3,664.6,71.3,-1.1000000000000085,1.1000000000000085
r28,ours_pca4,626.0,780.6,154.5,82.1,-82.1
r28,ours_pca8,617.0,730.0,113.0,40.599999999999994,-40.599999999999994
r28,worldcam,812.4,1233.1,420.6,348.20000000000005,-348.20000000000005
r28,worldplay,587.6,592.4,4.8,-67.60000000000001,67.60000000000001
r28,yume,329.6,349.8,20.2,-52.2,52.2
r29,astra,373.2,662.9,289.7,130.0,-130.0
r29,matrixgame,296.7,432.3,135.6,-24.099999999999994,24.099999999999994
r29,minwm,637.7,807.7,170.0,10.300000000000011,-10.300000000000011
r29,ours_16node,665.4,1034.0,368.6,208.90000000000003,-208.90000000000003
r29,ours_4node,529.1,643.3,114.1,-45.599999999999994,45.599999999999994
r29,ours_noadaln,461.3,410.3,-51.1,-210.79999999999998,210.79999999999998
r29,ours_noatok,545.7,695.1,149.4,-10.299999999999983,10.299999999999983
r29,ours_nocritic,558.6,752.0,193.4,33.70000000000002,-33.70000000000002
r29,ours_pca2,584.1,793.4,209.4,49.70000000000002,-49.70000000000002
r29,ours_pca4,622.2,910.9,288.7,129.0,-129.0
r29,ours_pca8,573.9,844.1,270.2,110.5,-110.5
r29,worldcam,749.4,785.9,36.6,-123.1,123.1
r29,worldplay,636.1,645.0,8.9,-150.79999999999998,150.79999999999998
r29,yume,405.0,509.9,104.9,-54.79999999999998,54.79999999999998
r30,astra,252.8,494.6,241.7,102.0,-102.0
r30,matrixgame,236.1,409.0,172.9,33.20000000000002,-33.20000000000002
r30,minwm,443.9,506.6,62.7,-76.99999999999999,76.99999999999999
r30,ours_16node,813.9,1166.4,352.5,212.8,-212.8
r30,ours_4node,641.7,748.2,106.5,-33.19999999999999,33.19999999999999
r30,ours_noadaln,493.8,384.9,-108.9,-248.6,248.6
r30,ours_noatok,665.2,845.5,180.2,40.5,-40.5
r30,ours_nocritic,725.8,610.8,-115.1,-254.79999999999998,254.79999999999998
r30,ours_pca2,751.4,928.4,176.9,37.20000000000002,-37.20000000000002
r30,ours_pca4,831.5,1068.3,236.8,97.10000000000002,-97.10000000000002
r30,ours_pca8,768.2,835.2,67.1,-72.6,72.6
r30,worldcam,952.0,1311.2,359.1,219.40000000000003,-219.40000000000003
r30,worldplay,443.4,436.1,-7.3,-147.0,147.0
r30,yume,231.2,135.4,-95.9,-235.6,235.6
r31,astra,65.3,75.1,9.8,-0.8999999999999986,0.8999999999999986
r31,matrixgame,70.5,189.6,119.1,108.39999999999999,-108.39999999999999
r31,minwm,121.0,161.7,40.7,30.000000000000004,-30.000000000000004
r31,ours_16node,108.0,113.0,5.0,-5.699999999999999,5.699999999999999
r31,ours_4node,102.6,99.8,-2.8,-13.5,13.5
r31,ours_noadaln,99.7,80.0,-19.7,-30.4,30.4
r31,ours_noatok,107.1,99.8,-7.3,-18.0,18.0
r31,ours_nocritic,106.3,88.2,-18.0,-28.7,28.7
r31,ours_pca2,107.0,104.6,-2.4,-13.1,13.1
r31,ours_pca4,118.5,130.1,11.6,0.9000000000000004,-0.9000000000000004
r31,ours_pca8,110.6,126.4,15.9,5.200000000000001,-5.200000000000001
r31,worldcam,175.7,296.1,120.4,109.7,-109.7
r31,worldplay,90.6,111.2,20.6,9.900000000000002,-9.900000000000002
r31,yume,62.9,120.3,57.4,46.7,-46.7
