uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_4node_r10_FR,ours_4node,r10_FR,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_FR,ours_noatok,r10_FR,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_FR,ours_noadaln,r10_FR,108,16.0,12,0,0,,,,,,,,,
astra_r10_L,astra,r10_L,125,20.0,4,0,0,-0.21,truck,31.0,1.35,B,2.36,0.42,0.96,"[499.5, 244.1, 537.5, 280.7]"
matrixgame_r10_L,matrixgame,r10_L,152,25.0,1,0,0,,,,,,,,,
minwm_r10_L,minwm,r10_L,77,16.0,13,0,0,-0.31,car,13.0,0.0,B,18.98,0.71,0.49,"[470.4, 244.6, 538.4, 299.7]"
worldcam_r10_L,worldcam,r10_L,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_L,worldplay,r10_L,146,24.0,1,0,0,,,,,,,,,
yume_r10_L,yume,r10_L,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r10_L,ours_pca8,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r10_L,ours_pca4,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_L,ours_pca2,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_L,ours_16node,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_4node_r10_L,ours_4node,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_L,ours_noatok,r10_L,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_L,ours_noadaln,r10_L,108,16.0,12,1,1,0.06,truck,66.0,3.38,A,5.68,0.32,0.61,"[462.0, 213.8, 492.5, 243.7]"
astra_r10_R,astra,r10_R,125,20.0,4,0,0,-0.27,truck,5.0,0.05,B,2.29,0.23,0.91,"[493.9, 244.9, 532.1, 281.3]"
matrixgame_r10_R,matrixgame,r10_R,152,25.0,1,0,0,,,,,,,,,
minwm_r10_R,minwm,r10_R,77,16.0,13,0,0,-0.14,truck,17.0,0.25,A,4.7,0.21,0.74,"[465.4, 247.8, 493.4, 278.8]"
worldcam_r10_R,worldcam,r10_R,241,30.0,65,0,0,,,,,,,,,
worldplay_r10_R,worldplay,r10_R,146,24.0,1,0,0,,,,,,,,,
yume_r10_R,yume,r10_R,98,16.0,1,0,0,-0.51,truck,19.0,1.12,A,3.56,0.56,0.98,"[698.3, 358.8, 751.1, 409.7]"
ours_pca8_r10_R,ours_pca8,r10_R,108,16.0,12,0,0,-0.34,truck,20.0,0.5,A,3.3,0.13,0.29,"[488.8, 205.6, 522.2, 241.0]"
ours_pca4_r10_R,ours_pca4,r10_R,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r10_R,ours_pca2,r10_R,108,16.0,12,0,0,,,,,,,,,
ours_16node_r10_R,ours_16node,r10_R,108,16.0,12,0,0,-0.48,bus,55.0,2.69,A,2.68,0.68,0.96,"[302.3, 211.8, 335.8, 248.8]"
ours_4node_r10_R,ours_4node,r10_R,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r10_R,ours_noatok,r10_R,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r10_R,ours_noadaln,r10_R,108,16.0,12,0,0,,,,,,,,,
astra_r11_B,astra,r11_B,125,20.0,4,0,0,,,,,,,,,
matrixgame_r11_B,matrixgame,r11_B,152,25.0,1,0,0,,,,,,,,,
minwm_r11_B,minwm,r11_B,77,16.0,13,1,1,0.53,car,13.0,0.0,B,18.58,0.18,0.38,"[384.1, 258.1, 473.8, 329.7]"
worldcam_r11_B,worldcam,r11_B,241,30.0,65,0,0,,,,,,,,,
worldplay_r11_B,worldplay,r11_B,146,24.0,1,0,0,-0.88,car,62.0,2.54,A,0.59,0.21,0.68,"[267.2, 260.8, 333.3, 311.0]"
yume_r11_B,yume,r11_B,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r11_B,ours_pca8,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r11_B,ours_pca4,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r11_B,ours_pca2,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_16node_r11_B,ours_16node,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_4node_r11_B,ours_4node,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r11_B,ours_noatok,r11_B,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r11_B,ours_noadaln,r11_B,108,16.0,12,0,0,,,,,,,,,
astra_r11_BL,astra,r11_BL,125,20.0,4,0,0,,,,,,,,,
matrixgame_r11_BL,matrixgame,r11_BL,152,25.0,1,0,0,,,,,,,,,
minwm_r11_BL,minwm,r11_BL,77,16.0,13,1,1,0.46,truck,13.0,0.0,A,20.45,0.2,0.35,"[397.1, 272.8, 474.0, 338.8]"
worldcam_r11_BL,worldcam,r11_BL,241,30.0,65,0,0,,,,,,,,,
worldplay_r11_BL,worldplay,r11_BL,146,24.0,1,0,0,,,,,,,,,
yume_r11_BL,yume,r11_BL,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r11_BL,ours_pca8,r11_BL,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r11_BL,ours_pca4,r11_BL,108,16.0,12,0,0,,,,,,,,,
