model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
pca8_8node,6,B,46.62,-2.41,206.3,-0.1064,0.0483,0.2531,-0.3231,-0.4672,0.3039,0.2045,0.1712
pca8_8node,6,BL,38.01,-2.75,400.2,-0.2513,-0.4778,0.2168,-0.6019,-0.3811,0.3662,0.0576,-0.2905
pca8_8node,6,L,-42.34,-7.19,335.5,-0.0185,-0.6381,-0.6029,-0.4233,0.5957,-0.4549,0.1302,0.2879
pca8_8node,6,FL,-39.25,2.17,72.3,0.1825,-0.352,-0.1586,0.3958,0.4031,-0.1472,-0.0377,0.0363
pca8_8node,7,F,-34.28,-0.57,-127.9,0.5865,-0.0599,0.1086,0.0172,0.2882,-0.1746,-0.2641,-0.0983
pca8_8node,7,FR,-40.0,3.81,-297.9,0.5356,0.4597,-0.0903,-0.2383,0.3707,-0.1839,-0.4052,0.0966
pca8_8node,7,R,-43.61,7.75,-469.9,0.1466,0.6159,0.1495,0.2791,0.2848,-0.2081,-0.0886,-0.1902
pca8_8node,7,BR,0.74,12.84,-234.9,-0.1893,0.4303,0.3584,0.2046,-0.1743,0.0374,0.1017,0.0005
pca8_8node,7,B,31.86,2.67,174.2,-0.2199,0.003,0.1998,-0.2074,-0.3551,0.3285,0.1727,-0.0921
pca8_8node,7,BL,45.87,1.38,423.4,-0.2597,-0.281,0.081,-0.4706,-0.4662,0.4158,0.1021,-0.3047
pca8_8node,7,L,-11.7,-12.44,387.9,-0.0245,-0.687,-0.4163,-0.3605,0.2938,-0.1124,0.0248,-0.1041
pca8_8node,7,FL,-24.99,-5.55,27.7,0.4586,-0.4234,0.0553,0.0801,0.1885,-0.182,0.0567,0.2076
pca8_8node,8,F,-25.76,-2.02,-102.2,0.6108,-0.0374,0.1939,-0.091,0.0613,-0.0962,-0.1105,-0.1509
pca8_8node,8,FR,-26.39,4.25,-330.7,0.5427,0.5229,0.3775,-0.1802,0.363,-0.0559,-0.4029,0.0129
pca8_8node,8,R,-25.16,12.33,-543.3,0.1513,0.6786,0.4557,0.2781,0.1873,-0.2199,-0.1589,-0.2147
pca8_8node,8,BR,26.51,10.27,-273.9,-0.183,0.5508,0.5408,0.4662,-0.2596,-0.2239,0.1487,-0.0191
pca8_8node,8,B,22.17,-2.64,28.1,-0.197,0.0379,0.2311,-0.0664,-0.2864,0.172,0.2382,-0.1021
pca8_8node,8,BL,45.51,-2.98,509.1,-0.2404,-0.3915,0.0374,-0.5022,-0.2783,0.2322,0.1007,-0.0599
pca8_8node,8,L,18.27,-13.6,528.9,-0.0317,-0.7116,-0.4298,-0.3783,0.2704,-0.2437,0.1129,-0.0577
pca8_8node,8,FL,-21.57,-4.08,7.5,0.4729,-0.3259,0.1856,0.1266,-0.0353,-0.2622,0.0428,-0.012
pca8_8node,9,F,-30.15,-1.37,-84.2,0.4996,-0.0094,-0.3561,0.2437,-0.4021,0.0754,0.3655,0.0843
pca8_8node,9,FR,-27.2,-0.23,-311.5,0.4683,0.5188,-0.3787,0.0068,-0.1689,-0.1011,-0.0029,0.2494
pca8_8node,9,R,-34.2,-0.12,-624.7,0.1127,0.7133,-0.1017,0.1474,0.0442,0.0637,0.2426,0.286
pca8_8node,9,BR,-4.43,2.88,-366.8,-0.2268,0.4611,0.3805,0.0527,0.0403,-0.0112,-0.0474,-0.1347
pca8_8node,9,B,24.46,0.04,83.6,-0.2058,0.0053,0.2752,-0.2533,0.0389,0.07,-0.0506,-0.0736
pca8_8node,9,BL,25.26,0.22,288.5,-0.2223,-0.26,0.2632,-0.4372,0.0041,0.2035,0.0142,-0.0863
pca8_8node,9,L,-3.78,4.0,393.1,0.033,-0.6079,-0.0832,0.0154,-0.0075,0.1493,0.0983,-0.0183
pca8_8node,9,FL,-37.46,0.31,96.5,0.4706,-0.4381,-0.0844,0.2588,-0.4693,0.0101,-0.026,0.2168
pca8_8node,10,F,-51.44,-1.01,-161.2,0.3576,-0.0175,-0.253,0.3796,-0.0383,-0.3761,-0.0245,-0.0175
pca8_8node,10,FR,-62.01,7.54,-384.7,0.3846,0.5023,-0.3391,0.2299,0.0298,-0.1768,-0.3964,-0.1751
pca8_8node,10,R,-40.82,14.2,-495.2,0.106,0.6319,0.1552,0.4498,0.0865,-0.1608,-0.0896,-0.2124
pca8_8node,10,BR,4.91,11.21,-205.0,-0.0731,0.3902,0.2851,0.183,-0.1204,0.0286,0.0368,-0.0239
pca8_8node,10,B,36.21,2.91,230.2,-0.1604,-0.0596,0.172,-0.4293,-0.2943,0.2869,0.0946,0.0404
pca8_8node,10,BL,39.89,3.03,382.9,-0.2164,-0.3378,0.196,-0.5117,-0.2558,0.5207,0.091,-0.0841
pca8_8node,10,L,-34.29,-9.33,330.5,0.0848,-0.7536,-0.5143,-0.3996,0.3072,-0.2505,-0.1074,-0.2754
pca8_8node,10,FL,-79.82,-3.32,-202.5,0.333,-0.2041,-0.2096,0.5113,0.1271,-0.5035,0.3337,-0.0615
pca8_8node,11,F,-24.38,0.83,-56.5,0.0059,0.0156,-0.0917,-0.0188,0.0928,-0.0643,0.0021,-0.0517
pca8_8node,11,FR,-3.87,10.59,-287.0,0.0881,0.4122,-0.3128,-0.026,-0.0916,0.1708,0.0545,-0.1022
pca8_8node,11,R,10.7,13.99,-525.2,-0.058,0.687,0.6263,0.4497,-0.3649,0.0817,-0.4382,-0.0745
pca8_8node,11,BR,36.72,19.9,-368.9,-0.0574,0.5245,0.4241,0.2306,-0.4507,0.2855,-0.0511,-0.1365
pca8_8node,11,B,71.58,-13.84,277.7,-0.0521,0.0605,0.1844,-0.0271,-0.3772,0.3456,0.0384,0.0104
pca8_8node,11,BL,69.16,16.85,823.0,-0.1776,-0.3968,0.127,-0.5544,-0.5147,0.4586,-0.2231,-0.0847
pca8_8node,11,L,19.03,-30.56,600.2,-0.0646,-0.6955,-0.3318,-0.6266,0.1062,-0.0299,-0.071,-0.1187
pca8_8node,11,FL,29.79,-63.14,34.4,0.1523,-0.2491,-0.4204,-0.3848,-0.1468,0.0547,-0.0275,0.0227
pca8_8node,12,F,-36.56,-0.98,-123.4,0.3588,-0.0247,-0.1408,0.4009,0.0949,0.1639,-0.2912,-0.0349
pca8_8node,12,FR,-35.12,8.16,-289.9,0.3233,0.3984,-0.0951,0.4044,-0.0726,-0.1253,-0.4459,-0.0144
pca8_8node,12,R,-39.04,10.75,-541.1,0.1158,0.7177,0.0823,0.4735,0.0867,-0.2419,-0.0537,0.2262
pca8_8node,12,BR,2.24,11.65,-375.2,-0.1087,0.6597,0.4124,0.4965,-0.0146,-0.2577,0.2842,-0.0416
pca8_8node,12,B,26.0,4.84,97.8,-0.1823,0.0367,0.3392,-0.1714,-0.2227,0.1862,0.0958,-0.1227
pca8_8node,12,BL,47.75,-5.6,414.0,-0.2195,-0.3489,0.3111,-0.3809,-0.2197,0.3509,0.0942,-0.0741
pca8_8node,12,L,10.7,-9.01,523.2,0.0611,-0.7671,-0.4403,-0.2779,0.4487,-0.2315,0.0212,-0.1533
pca8_8node,12,FL,-31.32,-5.15,80.0,0.3915,-0.4584,-0.2601,0.3333,0.1134,-0.172,-0.0846,-0.0042
pca8_8node,13,F,-17.95,-1.14,-38.2,0.3763,0.0769,-0.1187,-0.2833,0.1718,0.1076,0.0206,-0.1244
