scene,model,dino_drift
r03_L,ours_noadaln,0.4067
r03_R,astra,0.4608
r03_R,matrixgame,0.9599
r03_R,minwm,0.3604
r03_R,worldcam,0.8209
r03_R,worldplay,0.6355
r03_R,yume,0.6464
r03_R,ours_pca8,0.4456
r03_R,ours_pca4,0.6532
r03_R,ours_pca2,0.6409
r03_R,ours_16node,0.4185
r03_R,ours_4node,0.5217
r03_R,ours_noatok,0.8265
r03_R,ours_noadaln,0.7432
r04_B,astra,0.6107
r04_B,matrixgame,0.5454
r04_B,minwm,0.2324
r04_B,worldcam,0.3242
r04_B,worldplay,0.2964
r04_B,yume,0.3204
r04_B,ours_pca8,0.3353
r04_B,ours_pca4,0.3175
r04_B,ours_pca2,0.3031
r04_B,ours_16node,0.3329
r04_B,ours_4node,0.3296
r04_B,ours_noatok,0.275
r04_B,ours_noadaln,0.285
r04_BL,astra,0.4532
r04_BL,matrixgame,0.8083
r04_BL,minwm,0.2972
r04_BL,worldcam,0.8422
r04_BL,worldplay,0.4038
r04_BL,yume,0.4479
r04_BL,ours_pca8,0.3984
r04_BL,ours_pca4,0.381
r04_BL,ours_pca2,0.3315
r04_BL,ours_16node,0.3593
r04_BL,ours_4node,0.4549
r04_BL,ours_noatok,0.3123
r04_BL,ours_noadaln,0.308
r04_BR,astra,0.4907
r04_BR,matrixgame,0.7399
r04_BR,minwm,0.2731
r04_BR,worldcam,0.7334
r04_BR,worldplay,0.5814
r04_BR,yume,0.5275
r04_BR,ours_pca8,0.3505
r04_BR,ours_pca4,0.4262
r04_BR,ours_pca2,0.3356
r04_BR,ours_16node,0.4064
r04_BR,ours_4node,0.4133
r04_BR,ours_noatok,0.4288
r04_BR,ours_noadaln,0.3622
r04_F,astra,0.2922
r04_F,matrixgame,0.4324
r04_F,minwm,0.3632
r04_F,worldcam,0.4888
r04_F,worldplay,0.3279
r04_F,yume,0.4234
r04_F,ours_pca8,0.2227
r04_F,ours_pca4,0.2516
r04_F,ours_pca2,0.3142
r04_F,ours_16node,0.25
r04_F,ours_4node,0.2823
r04_F,ours_noatok,0.3168
r04_F,ours_noadaln,0.311
r04_FL,astra,0.4128
r04_FL,matrixgame,0.8226
r04_FL,minwm,0.2433
r04_FL,worldcam,0.918
r04_FL,worldplay,0.6612
r04_FL,yume,0.384
r04_FL,ours_pca8,0.3164
r04_FL,ours_pca4,0.4405
r04_FL,ours_pca2,0.428
r04_FL,ours_16node,0.3698
r04_FL,ours_4node,0.4233
r04_FL,ours_noatok,0.4035
r04_FL,ours_noadaln,0.3036
r04_FR,astra,0.6403
r04_FR,matrixgame,0.7351
r04_FR,minwm,0.2307
r04_FR,worldcam,0.6751
r04_FR,worldplay,0.4931
r04_FR,yume,0.5045
r04_FR,ours_pca8,0.299
r04_FR,ours_pca4,0.3419
r04_FR,ours_pca2,0.2488
r04_FR,ours_16node,0.3252
r04_FR,ours_4node,0.3941
r04_FR,ours_noatok,0.3291
r04_FR,ours_noadaln,0.3493
r04_L,astra,0.4494
r04_L,matrixgame,0.9828
r04_L,minwm,0.2832
r04_L,worldcam,0.8083
r04_L,worldplay,0.6542
r04_L,yume,0.3969
r04_L,ours_pca8,0.4523
r04_L,ours_pca4,0.3533
r04_L,ours_pca2,0.4534
r04_L,ours_16node,0.3467
r04_L,ours_4node,0.465
r04_L,ours_noatok,0.3515
r04_L,ours_noadaln,0.2848
r04_R,astra,0.3839
r04_R,matrixgame,0.8915
r04_R,minwm,0.2286
r04_R,worldcam,0.721
r04_R,worldplay,0.5258
r04_R,yume,0.4119
r04_R,ours_pca8,0.3781
r04_R,ours_pca4,0.4176
r04_R,ours_pca2,0.3755
r04_R,ours_16node,0.4051
r04_R,ours_4node,0.4391
r04_R,ours_noatok,0.3751
r04_R,ours_noadaln,0.3599
r05_B,astra,0.6449
r05_B,matrixgame,0.4824
r05_B,minwm,0.2454
r05_B,worldcam,0.3407
r05_B,worldplay,0.4388
r05_B,yume,0.1931
r05_B,ours_pca8,0.2332
r05_B,ours_pca4,0.242
r05_B,ours_pca2,0.2013
r05_B,ours_16node,0.2411
r05_B,ours_4node,0.2081
r05_B,ours_noatok,0.2154
