model,scene,direction,feature_valid,static_inliers,static,active
astra,r20_R,R,True,21,0,1
astra,r21_B,B,False,7,0,0
astra,r21_BL,BL,False,4,0,0
astra,r21_BR,BR,False,7,0,0
astra,r21_F,F,False,7,0,0
astra,r21_FL,FL,False,9,0,0
astra,r21_FR,FR,False,7,0,0
astra,r21_L,L,False,7,0,0
astra,r21_R,R,False,0,0,0
astra,r22_B,B,True,1279,1,0
astra,r22_BL,BL,True,14,0,1
astra,r22_BR,BR,True,13,0,1
astra,r22_F,F,True,1516,1,0
astra,r22_FL,FL,True,14,0,1
astra,r22_FR,FR,True,3,0,1
astra,r22_L,L,True,411,0,1
astra,r22_R,R,True,5,0,1
astra,r23_B,B,True,1322,1,0
astra,r23_BL,BL,True,401,0,1
astra,r23_BR,BR,True,12,0,1
astra,r23_F,F,True,1718,1,0
astra,r23_FL,FL,True,14,0,1
astra,r23_FR,FR,True,11,0,1
astra,r23_L,L,True,77,0,1
astra,r23_R,R,True,15,0,1
astra,r24_B,B,True,1684,1,0
astra,r24_BL,BL,True,832,1,0
astra,r24_BR,BR,True,178,0,1
astra,r24_F,F,True,1660,1,0
astra,r24_FL,FL,True,532,0,1
astra,r24_FR,FR,True,12,0,1
astra,r24_L,L,True,186,0,1
astra,r24_R,R,True,571,0,1
astra,r25_B,B,True,6,0,1
astra,r25_BL,BL,True,5,0,1
astra,r25_BR,BR,True,7,0,1
astra,r25_F,F,True,6,0,1
astra,r25_FL,FL,True,2,0,1
astra,r25_FR,FR,True,5,0,1
astra,r25_L,L,True,0,0,1
astra,r25_R,R,True,6,0,1
astra,r26_B,B,True,76,0,1
astra,r26_BL,BL,True,12,0,1
astra,r26_BR,BR,True,13,0,1
astra,r26_F,F,True,83,0,1
astra,r26_FL,FL,True,13,0,1
astra,r26_FR,FR,True,12,0,1
astra,r26_L,L,True,17,0,1
astra,r26_R,R,True,14,0,1
astra,r27_B,B,True,941,1,0
astra,r27_BL,BL,True,15,0,1
