scene,model,base_blur,end_blur,d_blur,x_blur,B
r02_FR,astra,147.1,112.5,-34.6,-103.80000000000001,103.80000000000001
r02_FR,matrixgame,64.9,256.6,191.7,122.49999999999999,-122.49999999999999
r02_FR,minwm,256.4,325.6,69.2,0.0,-0.0
r02_FR,worldcam,232.6,113.5,-119.1,-188.3,188.3
r02_FR,worldplay,111.7,196.1,84.4,15.200000000000003,-15.200000000000003
r02_FR,yume,141.3,152.2,10.9,-58.300000000000004,58.300000000000004
r02_FR,ours_pca8,236.3,406.0,169.7,100.49999999999999,-100.49999999999999
r02_FR,ours_pca4,214.1,365.2,151.1,81.89999999999999,-81.89999999999999
r02_FR,ours_pca2,182.4,261.5,79.1,9.899999999999991,-9.899999999999991
r02_FR,ours_16node,255.3,350.5,95.1,25.89999999999999,-25.89999999999999
r02_FR,ours_4node,192.3,137.9,-54.4,-123.6,123.6
r02_FR,ours_noatok,173.1,131.4,-41.7,-110.9,110.9
r02_FR,ours_noadaln,150.9,54.2,-96.7,-165.9,165.9
r02_L,astra,121.0,101.1,-19.8,-126.3,126.3
r02_L,matrixgame,132.6,77.8,-54.8,-161.3,161.3
r02_L,minwm,250.7,289.4,38.7,-67.8,67.8
r02_L,worldcam,236.0,408.5,172.5,66.0,-66.0
r02_L,worldplay,125.4,231.8,106.5,0.0,-0.0
r02_L,yume,261.5,516.5,255.0,148.5,-148.5
r02_L,ours_pca8,259.3,675.0,415.7,309.2,-309.2
r02_L,ours_pca4,279.8,570.1,290.3,183.8,-183.8
r02_L,ours_pca2,241.1,304.7,63.7,-42.8,42.8
r02_L,ours_16node,270.8,982.9,712.1,605.6,-605.6
r02_L,ours_4node,208.0,374.9,166.9,60.400000000000006,-60.400000000000006
r02_L,ours_noatok,220.1,240.7,20.6,-85.9,85.9
r02_L,ours_noadaln,202.8,195.7,-7.1,-113.6,113.6
r02_R,astra,94.3,236.9,142.5,129.4,-129.4
r02_R,matrixgame,76.0,0.0,-76.0,-89.1,89.1
r02_R,minwm,220.5,233.6,13.1,0.0,-0.0
r02_R,worldcam,238.0,187.3,-50.7,-63.800000000000004,63.800000000000004
r02_R,worldplay,120.6,203.4,82.8,69.7,-69.7
r02_R,yume,79.2,152.7,73.5,60.4,-60.4
r02_R,ours_pca8,145.9,123.7,-22.2,-35.3,35.3
r02_R,ours_pca4,152.9,129.7,-23.2,-36.3,36.3
r02_R,ours_pca2,149.9,169.0,19.2,6.1,-6.1
r02_R,ours_16node,176.3,196.4,20.0,6.9,-6.9
r02_R,ours_4node,91.3,76.0,-15.3,-28.4,28.4
r02_R,ours_noatok,91.5,71.5,-19.9,-33.0,33.0
r02_R,ours_noadaln,127.7,156.0,28.3,15.200000000000001,-15.200000000000001
r03_B,astra,1619.5,2018.4,398.9,710.2,-710.2
r03_B,matrixgame,332.3,239.0,-93.3,218.0,-218.0
r03_B,minwm,1088.9,1079.4,-9.5,301.8,-301.8
r03_B,worldcam,1583.2,1797.1,213.9,525.2,-525.2
r03_B,worldplay,1451.8,2242.5,790.7,1102.0,-1102.0
r03_B,yume,997.2,507.4,-489.9,-178.59999999999997,178.59999999999997
r03_B,ours_pca8,1241.5,696.9,-544.6,-233.3,233.3
r03_B,ours_pca4,1691.1,1379.8,-311.3,0.0,-0.0
r03_B,ours_pca2,1770.5,951.5,-819.0,-507.7,507.7
r03_B,ours_16node,1625.8,882.3,-743.5,-432.2,432.2
r03_B,ours_4node,1208.5,628.4,-580.0,-268.7,268.7
