model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
yume,15,FL,-351.22,-3.85,-342.8,0.5431,-0.9778,-0.0015,-0.1087,0.3491,-0.6653,0.5685,0.0633
yume,16,F,-77.93,-0.17,-380.4,0.8773,0.0431,-0.3706,0.8193,0.4262,-0.3074,0.2129,0.7645
yume,16,FR,-144.64,-1.77,-1755.8,0.9488,0.9964,-0.7142,-0.1735,0.9257,0.1984,-0.7375,0.9359
yume,16,R,-48.2,0.22,-643.6,0.8458,0.9094,-0.724,-0.0383,0.5197,-0.2827,-0.1408,0.6346
yume,16,BR,-13.8,6.62,-1570.4,0.3081,0.9991,-0.6394,0.6909,0.7662,-0.3773,-0.9236,0.4742
yume,16,B,-106.82,-0.06,-493.2,0.8702,0.3027,-0.7459,0.4208,0.7628,0.018,-0.8376,0.396
yume,16,BL,9.11,-2.03,966.3,0.8043,-0.9979,0.1359,0.9605,-0.2923,-0.6104,0.931,0.1313
yume,16,L,3.69,-7.85,591.5,0.2156,-0.9216,-0.2381,0.4954,0.0989,0.0174,0.3265,-0.1708
yume,16,FL,-199.9,-1.46,235.3,0.9632,-0.993,-0.8133,0.8531,0.0343,-0.729,0.9831,0.8451
yume,17,F,-98.67,-0.66,-420.8,0.8905,0.0865,-0.794,0.9581,0.7963,-0.966,0.0658,0.186
yume,17,FR,-0.04,30.38,-1429.0,0.6084,0.9997,0.2425,0.9828,0.9533,-0.9622,-0.8803,-0.0095
yume,17,R,-131.64,2.62,-1041.1,0.8871,0.8737,-0.6439,0.8409,0.0741,-0.9441,0.8804,-0.3254
yume,17,BR,17.39,25.59,-1222.6,0.2059,0.9985,-0.2622,0.8316,0.7819,-0.6882,-0.9163,-0.1797
yume,17,B,-190.12,-2.24,-674.6,0.5048,0.272,-0.9185,0.98,0.9989,-0.9975,0.297,0.5977
yume,17,BL,-10.4,-21.21,1434.1,0.6886,-0.9996,-0.7453,0.5766,0.3601,-0.8007,0.759,-0.8989
yume,17,L,-150.81,-1.37,-137.5,0.8528,-0.7892,-0.6318,0.933,0.1298,-0.8608,-0.0577,-0.0556
yume,17,FL,-60.18,-27.31,924.6,0.9009,-0.9437,-0.9233,0.9569,0.6109,-0.9862,0.9984,-0.8604
yume,18,F,-12.3,1.48,-78.0,0.7993,-0.0472,0.0598,0.3638,-0.1546,0.5071,0.2681,-0.5396
yume,18,FR,1.63,9.86,-809.0,0.856,0.9921,0.0698,0.0588,0.7618,-0.0274,-0.8082,0.2731
yume,18,R,16.29,3.49,-134.7,-0.086,0.579,-0.1522,-0.095,0.1954,-0.0383,-0.348,0.0068
yume,18,BR,35.89,13.47,-937.7,0.5973,0.9997,-0.8692,-0.1758,0.9375,-0.0587,-0.9901,0.0583
yume,18,B,7.04,0.61,48.1,-0.2988,-0.1526,0.3811,-0.4408,-0.1636,0.0267,-0.1738,-0.5642
yume,18,BL,-0.57,-19.68,557.1,0.528,-0.9907,0.1944,0.9234,-0.6962,0.0915,0.9801,-0.6782
yume,18,L,-43.19,-0.73,145.5,0.004,-0.707,-0.1175,-0.0683,0.1188,0.115,-0.1954,-0.2384
yume,18,FL,-103.42,-11.84,91.1,0.9299,-0.7988,-0.7771,0.1054,-0.256,0.388,0.9716,-0.6547
yume,19,F,-24.14,0.42,-146.3,0.8755,-0.1968,-0.2298,0.6769,-0.7103,0.219,0.3335,-0.6384
yume,19,FR,16.29,14.89,-1195.9,0.7203,0.9991,-0.1688,0.4169,0.905,-0.4039,-0.9709,0.0789
yume,19,R,11.5,17.56,-1166.3,0.1152,0.9912,0.0874,0.8051,0.3116,-0.4521,-0.6764,0.1891
yume,19,BR,24.33,16.36,-853.0,0.2352,0.9968,-0.6369,-0.2391,0.7896,-0.2074,-0.9906,0.4832
yume,19,B,6.37,0.01,44.9,-0.3639,-0.0414,0.4087,-0.3039,0.1127,-0.1418,-0.0619,-0.5232
yume,19,BL,19.59,-18.3,1048.4,0.5813,-0.9973,0.242,0.8961,-0.918,-0.4746,0.9969,-0.1523
yume,19,L,-7.47,-8.75,507.8,0.0769,-0.8201,-0.3524,-0.0181,0.334,-0.1416,0.0325,-0.1915
yume,19,FL,-20.67,-11.03,631.0,0.8647,-0.959,-0.4601,0.5873,-0.4458,-0.5246,0.8665,-0.3
yume,20,F,-121.78,-0.11,-540.8,0.7718,-0.2492,0.5246,0.3747,-0.0681,0.2849,0.1765,-0.3196
yume,20,FR,13.43,5.8,-1059.8,0.926,0.9998,0.1028,0.3589,0.9763,-0.6379,-0.9817,-0.1672
yume,20,R,-16.01,-12.96,-1083.9,0.1537,0.9752,-0.1968,0.8348,0.4476,-0.7272,0.7745,0.4939
yume,20,BR,51.31,9.98,-1059.8,0.5807,0.9998,-0.1827,0.865,0.9166,-0.8506,-0.684,-0.2282
yume,20,B,25.84,0.01,235.3,-0.328,-0.3006,0.3611,-0.4587,-0.1679,0.3913,-0.2241,-0.4777
yume,20,BL,-210.06,-8.93,91.6,-0.0967,-0.9539,-0.1344,-0.0613,0.0979,-0.1116,0.8863,-0.1611
yume,20,L,-23.92,-2.19,707.0,0.3926,-0.9624,-0.6961,0.5775,0.8536,-0.5821,-0.2832,0.0021
yume,20,FL,-82.79,-8.29,689.3,0.7567,-0.9924,-0.3801,0.6742,-0.021,-0.5352,0.9741,0.0501
yume,21,F,-33.6,2.05,-211.2,0.1087,0.0879,-0.2336,0.1545,0.0016,-0.2063,0.1747,0.1505
yume,21,FR,35.4,18.82,-1042.8,0.4933,0.9996,-0.3179,0.9373,0.8549,-0.8725,-0.7566,0.1941
yume,21,R,55.78,3.06,-443.0,0.1349,0.9862,0.1113,0.8646,0.4984,-0.7073,-0.1268,-0.1998
yume,21,BR,37.73,3.07,-1310.9,0.2688,0.999,0.2082,0.8727,0.3126,-0.2844,-0.6073,-0.1061
yume,21,B,4.19,-0.07,30.7,-0.0583,-0.0473,0.0848,0.0493,-0.0041,0.0635,0.0629,-0.1387
yume,21,BL,43.35,-25.08,2201.7,0.4711,-0.9996,-0.9044,-0.0095,0.8074,-0.8478,0.9856,-0.8906
yume,21,L,14.65,-11.41,654.9,0.0403,-0.9096,-0.4058,-0.572,0.1964,-0.1024,-0.2927,-0.3585
yume,21,FL,-250.96,-7.24,2658.4,0.2786,-0.9831,-0.3262,-0.395,-0.0252,-0.6628,0.7522,-0.65
yume,22,F,-76.41,-1.43,-366.8,0.9454,-0.4371,-0.9083,0.8835,0.7084,-0.8222,-0.9205,0.2904
yume,22,FR,-23.84,5.36,-1502.1,0.8228,0.9998,-0.4768,0.8452,0.9547,-0.768,-0.6293,-0.0061
yume,22,R,-187.8,18.39,-1073.2,0.8855,0.5693,-0.8208,0.9843,0.9313,0.0715,-0.6598,0.6827
yume,22,BR,-40.95,27.93,-1807.7,0.0847,0.9988,0.2968,0.89,0.5642,-0.5248,-0.4891,0.1117
yume,22,B,-80.23,-1.24,-391.4,0.9566,0.1,-0.9835,0.5172,0.8557,-0.3812,-0.9166,0.584
yume,22,BL,-35.29,-13.5,978.3,0.6273,-0.9985,-0.7842,0.8261,0.796,-0.68,0.8487,-0.4427
yume,22,L,36.77,-16.18,1157.6,0.3322,-0.9796,-0.8448,0.4725,0.9513,-0.4809,-0.7698,0.5032
yume,22,FL,-344.99,-1.21,-471.5,0.9846,-0.7931,-0.7863,0.9633,0.9773,-0.8703,0.6512,0.7702
yume,23,F,-58.87,1.59,-322.7,0.845,0.5718,-0.7031,0.3098,0.4986,0.2819,0.1056,0.0822
yume,23,FR,-22.66,7.39,-877.6,0.9468,0.9959,-0.8026,0.0228,0.8592,0.1619,-0.7507,0.8563
yume,23,R,20.58,6.76,-419.6,0.3925,0.9669,-0.8012,-0.0204,0.5545,-0.2291,-0.5966,0.3279
yume,23,BR,20.76,17.29,-999.5,0.4234,0.9993,-0.8844,0.0689,0.8107,0.0652,-0.9237,-0.0271
yume,23,B,0.11,-0.36,-6.2,-0.0224,-0.0003,0.0082,0.0184,-0.0226,-0.0124,0.0419,-0.0181
yume,23,BL,13.54,-6.59,1138.3,0.7411,-0.9976,-0.6073,0.7726,0.6778,-0.704,0.9339,-0.1772
yume,23,L,-25.04,-4.51,386.4,0.871,-0.9635,0.0148,0.8295,-0.6987,-0.4662,0.8444,0.6914
yume,23,FL,-119.5,-3.78,349.9,0.9455,-0.9939,-0.7604,0.8124,-0.0219,-0.7755,0.7413,0.4816
yume,24,F,-16.02,1.46,-97.8,0.9407,0.2876,-0.7571,0.1664,-0.4166,0.3663,0.0141,0.63
yume,24,FR,29.15,13.39,-664.6,0.9525,0.9996,-0.5802,0.3143,0.8169,-0.6479,-0.1956,0.7812
yume,24,R,15.98,10.32,-374.5,0.2353,0.9529,-0.6514,0.6029,0.4707,-0.6489,0.7044,0.5121
yume,24,BR,37.74,17.61,-606.0,0.7846,0.9993,-0.9594,0.5299,0.9016,-0.501,-0.7915,0.5102
yume,24,B,-14.43,2.65,-114.5,0.8409,0.5042,-0.3398,-0.0125,0.5349,0.7171,-0.3445,0.0806
yume,24,BL,14.12,-17.84,759.6,0.8567,-0.9978,0.4831,0.9702,-0.5057,-0.4082,0.9955,0.4659
yume,24,L,3.37,-10.48,526.9,0.4515,-0.957,-0.2864,0.7875,0.1986,-0.1113,-0.0351,0.1556
