scene,model,static_inl,static
r06_FL,yume,6,0
r06_FL,ours_pca8,6,0
r06_FL,ours_pca4,0,0
r06_FL,ours_pca2,10,0
r06_FL,ours_16node,5,0
r06_FL,ours_4node,0,0
r06_FL,ours_noatok,7,0
r06_FL,ours_noadaln,324,0
r06_FR,astra,3,0
r06_FR,matrixgame,12,0
r06_FR,minwm,333,0
r06_FR,worldcam,8,0
r06_FR,worldplay,58,0
r06_FR,yume,19,0
r06_FR,ours_pca8,233,0
r06_FR,ours_pca4,248,0
r06_FR,ours_pca2,230,0
r06_FR,ours_16node,301,0
r06_FR,ours_4node,278,0
r06_FR,ours_noatok,345,0
r06_FR,ours_noadaln,270,0
r06_L,astra,11,0
r06_L,matrixgame,13,0
r06_L,minwm,648,1
r06_L,worldcam,13,0
r06_L,worldplay,14,0
r06_L,yume,13,0
r06_L,ours_pca8,13,0
r06_L,ours_pca4,9,0
r06_L,ours_pca2,10,0
r06_L,ours_16node,16,0
r06_L,ours_4node,10,0
r06_L,ours_noatok,10,0
r06_L,ours_noadaln,389,0
r06_R,astra,104,0
r06_R,matrixgame,14,0
r06_R,minwm,306,0
r06_R,worldcam,10,0
r06_R,worldplay,7,0
r06_R,yume,117,0
r06_R,ours_pca8,519,0
r06_R,ours_pca4,14,0
r06_R,ours_pca2,15,0
r06_R,ours_16node,214,0
r06_R,ours_4node,12,0
r06_R,ours_noatok,153,0
r06_R,ours_noadaln,230,0
r07_B,astra,89,0
r07_B,matrixgame,13,0
r07_B,minwm,1010,1
r07_B,worldcam,104,0
r07_B,worldplay,228,0
r07_B,yume,210,0
r07_B,ours_pca8,366,0
r07_B,ours_pca4,557,0
r07_B,ours_pca2,620,1
r07_B,ours_16node,514,0
r07_B,ours_4node,592,0
r07_B,ours_noatok,763,1
r07_B,ours_noadaln,474,0
r07_BL,astra,650,1
r07_BL,matrixgame,13,0
r07_BL,minwm,481,0
r07_BL,worldcam,10,0
r07_BL,worldplay,79,0
r07_BL,yume,12,0
r07_BL,ours_pca8,159,0
r07_BL,ours_pca4,245,0
r07_BL,ours_pca2,522,0
r07_BL,ours_16node,428,0
r07_BL,ours_4node,161,0
r07_BL,ours_noatok,465,0
r07_BL,ours_noadaln,487,0
r07_BR,astra,5,0
r07_BR,matrixgame,14,0
r07_BR,minwm,487,0
r07_BR,worldcam,11,0
r07_BR,worldplay,16,0
r07_BR,yume,15,0
r07_BR,ours_pca8,299,0
r07_BR,ours_pca4,333,0
r07_BR,ours_pca2,525,0
