scene,model,static_inl,static
r07_BR,ours_16node,369,0
r07_BR,ours_4node,118,0
r07_BR,ours_noatok,122,0
r07_BR,ours_noadaln,10,0
r07_F,astra,1260,1
r07_F,matrixgame,14,0
r07_F,minwm,750,1
r07_F,worldcam,17,0
r07_F,worldplay,455,0
r07_F,yume,25,0
r07_F,ours_pca8,396,0
r07_F,ours_pca4,399,0
r07_F,ours_pca2,478,0
r07_F,ours_16node,518,0
r07_F,ours_4node,304,0
r07_F,ours_noatok,441,0
r07_F,ours_noadaln,484,0
r07_FL,astra,8,0
r07_FL,matrixgame,15,0
r07_FL,minwm,371,0
r07_FL,worldcam,18,0
r07_FL,worldplay,14,0
r07_FL,yume,12,0
r07_FL,ours_pca8,550,0
r07_FL,ours_pca4,372,0
r07_FL,ours_pca2,522,0
r07_FL,ours_16node,360,0
r07_FL,ours_4node,492,0
r07_FL,ours_noatok,554,0
r07_FL,ours_noadaln,517,0
r07_FR,astra,15,0
r07_FR,matrixgame,15,0
r07_FR,minwm,246,0
r07_FR,worldcam,8,0
r07_FR,worldplay,14,0
r07_FR,yume,13,0
r07_FR,ours_pca8,156,0
r07_FR,ours_pca4,36,0
r07_FR,ours_pca2,157,0
r07_FR,ours_16node,295,0
r07_FR,ours_4node,11,0
r07_FR,ours_noatok,14,0
r07_FR,ours_noadaln,37,0
r07_L,astra,3,0
r07_L,matrixgame,16,0
r07_L,minwm,425,0
r07_L,worldcam,14,0
r07_L,worldplay,16,0
r07_L,yume,199,0
r07_L,ours_pca8,95,0
r07_L,ours_pca4,152,0
r07_L,ours_pca2,13,0
r07_L,ours_16node,213,0
r07_L,ours_4node,23,0
r07_L,ours_noatok,304,0
r07_L,ours_noadaln,461,0
r07_R,astra,12,0
r07_R,matrixgame,13,0
r07_R,minwm,331,0
r07_R,worldcam,13,0
r07_R,worldplay,10,0
r07_R,yume,14,0
r07_R,ours_pca8,132,0
r07_R,ours_pca4,300,0
r07_R,ours_pca2,405,0
r07_R,ours_16node,213,0
r07_R,ours_4node,84,0
r07_R,ours_noatok,59,0
r07_R,ours_noadaln,19,0
r08_B,astra,1011,1
r08_B,matrixgame,22,0
r08_B,minwm,629,1
r08_B,worldcam,461,0
r08_B,worldplay,56,0
r08_B,yume,409,0
r08_B,ours_pca8,200,0
r08_B,ours_pca4,339,0
r08_B,ours_pca2,518,0
r08_B,ours_16node,155,0
r08_B,ours_4node,263,0
r08_B,ours_noatok,622,1
r08_B,ours_noadaln,591,0
r08_BL,astra,475,0
r08_BL,matrixgame,18,0
r08_BL,minwm,403,0
r08_BL,worldcam,11,0
r08_BL,worldplay,13,0
r08_BL,yume,15,0
r08_BL,ours_pca8,141,0
r08_BL,ours_pca4,210,0
r08_BL,ours_pca2,121,0
r08_BL,ours_16node,262,0
r08_BL,ours_4node,11,0
r08_BL,ours_noatok,278,0
r08_BL,ours_noadaln,584,0
r08_BR,astra,125,0
r08_BR,matrixgame,14,0
r08_BR,minwm,355,0
r08_BR,worldcam,14,0
r08_BR,worldplay,13,0
r08_BR,yume,14,0
r08_BR,ours_pca8,19,0
r08_BR,ours_pca4,36,0
r08_BR,ours_pca2,48,0
r08_BR,ours_16node,18,0
r08_BR,ours_4node,23,0
r08_BR,ours_noatok,12,0
r08_BR,ours_noadaln,10,0
r08_F,astra,442,0
r08_F,matrixgame,12,0
r08_F,minwm,553,0
r08_F,worldcam,82,0
r08_F,worldplay,51,0
r08_F,yume,134,0
r08_F,ours_pca8,247,0
r08_F,ours_pca4,321,0
r08_F,ours_pca2,244,0
r08_F,ours_16node,464,0
r08_F,ours_4node,244,0
r08_F,ours_noatok,275,0
r08_F,ours_noadaln,548,0
r08_FL,astra,126,0
r08_FL,matrixgame,8,0
r08_FL,minwm,200,0
r08_FL,worldcam,12,0
